# x y z WebID
1 1 1 0
1 1 3 1
1 1 5 2
1 1 7 2
1 1 9 3
1 1 11 3
1 1 13 2
1 1 15 2
1 1 17 2
1 1 19 2
1 1 21 2
1 1 23 1
1 1 25 1
1 1 27 2
1 1 29 2
1 1 31 2
1 1 33 3
1 1 35 3
1 1 37 3
1 1 39 2
1 1 41 2
1 1 43 2
1 1 45 2
1 1 47 2
1 1 49 1
1 1 51 1
1 1 53 1
1 1 55 1
1 1 57 1
1 1 59 1
1 1 61 1
1 1 63 1
1 1 65 1
1 1 67 1
1 1 69 1
1 1 71 1
1 1 73 1
1 1 75 1
1 1 77 1
1 1 79 1
1 1 81 1
1 1 83 1
1 1 85 1
1 1 87 1
1 1 89 1
1 1 91 1
1 1 93 1
1 1 95 1
1 1 97 1
1 1 99 1
1 3 1 1
1 3 3 2
1 3 5 2
1 3 7 2
1 3 9 2
1 3 11 2
1 3 13 2
1 3 15 2
1 3 17 1
1 3 19 1
1 3 21 1
1 3 23 1
1 3 25 2
1 3 27 2
1 3 29 2
1 3 31 3
1 3 33 2
1 3 35 2
1 3 37 2
1 3 39 2
1 3 41 2
1 3 43 2
1 3 45 2
1 3 47 2
1 3 49 1
1 3 51 0
1 3 53 0
1 3 55 0
1 3 57 0
1 3 59 0
1 3 61 1
1 3 63 1
1 3 65 0
1 3 67 0
1 3 69 0
1 3 71 0
1 3 73 0
1 3 75 1
1 3 77 1
1 3 79 1
1 3 81 1
1 3 83 1
1 3 85 1
1 3 87 1
1 3 89 1
1 3 91 1
1 3 93 1
1 3 95 1
1 3 97 1
1 3 99 1
1 5 1 1
1 5 3 1
1 5 5 2
1 5 7 2
1 5 9 3
1 5 11 3
1 5 13 2
1 5 15 2
1 5 17 2
1 5 19 1
1 5 21 1
1 5 23 2
1 5 25 2
1 5 27 2
1 5 29 2
1 5 31 2
1 5 33 2
1 5 35 2
1 5 37 2
1 5 39 2
1 5 41 2
1 5 43 2
1 5 45 2
1 5 47 2
1 5 49 1
1 5 51 1
1 5 53 0
1 5 55 0
1 5 57 0
1 5 59 1
1 5 61 1
1 5 63 1
1 5 65 1
1 5 67 0
1 5 69 0
1 5 71 0
1 5 73 0
1 5 75 0
1 5 77 1
1 5 79 1
1 5 81 1
1 5 83 1
1 5 85 1
1 5 87 1
1 5 89 1
1 5 91 1
1 5 93 1
1 5 95 1
1 5 97 1
1 5 99 1
1 7 1 1
1 7 3 1
1 7 5 1
1 7 7 2
1 7 9 3
1 7 11 3
1 7 13 2
1 7 15 2
1 7 17 2
1 7 19 2
1 7 21 2
1 7 23 2
1 7 25 2
1 7 27 2
1 7 29 2
1 7 31 2
1 7 33 2
1 7 35 2
1 7 37 2
1 7 39 2
1 7 41 2
1 7 43 2
1 7 45 2
1 7 47 2
1 7 49 1
1 7 51 1
1 7 53 1
1 7 55 1
1 7 57 1
1 7 59 1
1 7 61 1
1 7 63 1
1 7 65 1
1 7 67 1
1 7 69 0
1 7 71 0
1 7 73 0
1 7 75 0
1 7 77 0
1 7 79 1
1 7 81 1
1 7 83 1
1 7 85 2
1 7 87 1
1 7 89 1
1 7 91 1
1 7 93 1
1 7 95 1
1 7 97 1
1 7 99 1
1 9 1 2
1 9 3 1
1 9 5 1
1 9 7 2
1 9 9 2
1 9 11 2
1 9 13 2
1 9 15 2
1 9 17 2
1 9 19 2
1 9 21 2
1 9 23 2
1 9 25 2
1 9 27 2
1 9 29 2
1 9 31 2
1 9 33 2
1 9 35 2
1 9 37 2
1 9 39 2
1 9 41 2
1 9 43 2
1 9 45 2
1 9 47 2
1 9 49 2
1 9 51 1
1 9 53 2
1 9 55 2
1 9 57 2
1 9 59 2
1 9 61 2
1 9 63 1
1 9 65 1
1 9 67 1
1 9 69 1
1 9 71 1
1 9 73 1
1 9 75 1
1 9 77 1
1 9 79 1
1 9 81 2
1 9 83 2
1 9 85 2
1 9 87 2
1 9 89 2
1 9 91 2
1 9 93 1
1 9 95 1
1 9 97 1
1 9 99 1
1 11 1 2
1 11 3 2
1 11 5 2
1 11 7 2
1 11 9 2
1 11 11 2
1 11 13 2
1 11 15 2
1 11 17 2
1 11 19 1
1 11 21 2
1 11 23 2
1 11 25 1
1 11 27 1
1 11 29 1
1 11 31 1
1 11 33 1
1 11 35 2
1 11 37 2
1 11 39 2
1 11 41 2
1 11 43 2
1 11 45 2
1 11 47 2
1 11 49 2
1 11 51 2
1 11 53 2
1 11 55 2
1 11 57 2
1 11 59 2
1 11 61 2
1 11 63 1
1 11 65 1
1 11 67 1
1 11 69 1
1 11 71 1
1 11 73 1
1 11 75 1
1 11 77 1
1 11 79 2
1 11 81 2
1 11 83 2
1 11 85 2
1 11 87 3
1 11 89 3
1 11 91 2
1 11 93 2
1 11 95 1
1 11 97 1
1 11 99 1
1 13 1 2
1 13 3 2
1 13 5 1
1 13 7 1
1 13 9 1
1 13 11 1
1 13 13 2
1 13 15 2
1 13 17 2
1 13 19 2
1 13 21 2
1 13 23 2
1 13 25 1
1 13 27 1
1 13 29 1
1 13 31 1
1 13 33 1
1 13 35 1
1 13 37 1
1 13 39 1
1 13 41 2
1 13 43 2
1 13 45 2
1 13 47 2
1 13 49 2
1 13 51 3
1 13 53 2
1 13 55 2
1 13 57 2
1 13 59 2
1 13 61 2
1 13 63 1
1 13 65 1
1 13 67 1
1 13 69 1
1 13 71 1
1 13 73 1
1 13 75 1
1 13 77 1
1 13 79 2
1 13 81 2
1 13 83 2
1 13 85 2
1 13 87 3
1 13 89 3
1 13 91 2
1 13 93 2
1 13 95 2
1 13 97 1
1 13 99 2
1 15 1 2
1 15 3 2
1 15 5 1
1 15 7 1
1 15 9 1
1 15 11 1
1 15 13 1
1 15 15 2
1 15 17 2
1 15 19 3
1 15 21 2
1 15 23 2
1 15 25 1
1 15 27 1
1 15 29 1
1 15 31 1
1 15 33 1
1 15 35 1
1 15 37 1
1 15 39 1
1 15 41 1
1 15 43 2
1 15 45 2
1 15 47 2
1 15 49 3
1 15 51 3
1 15 53 3
1 15 55 2
1 15 57 2
1 15 59 2
1 15 61 2
1 15 63 1
1 15 65 1
1 15 67 1
1 15 69 1
1 15 71 1
1 15 73 1
1 15 75 1
1 15 77 1
1 15 79 1
1 15 81 2
1 15 83 2
1 15 85 2
1 15 87 3
1 15 89 3
1 15 91 2
1 15 93 2
1 15 95 2
1 15 97 1
1 15 99 2
1 17 1 2
1 17 3 2
1 17 5 2
1 17 7 2
1 17 9 1
1 17 11 1
1 17 13 1
1 17 15 2
1 17 17 2
1 17 19 3
1 17 21 2
1 17 23 2
1 17 25 1
1 17 27 1
1 17 29 1
1 17 31 1
1 17 33 1
1 17 35 1
1 17 37 1
1 17 39 1
1 17 41 1
1 17 43 1
1 17 45 1
1 17 47 2
1 17 49 3
1 17 51 3
1 17 53 2
1 17 55 2
1 17 57 2
1 17 59 2
1 17 61 1
1 17 63 1
1 17 65 1
1 17 67 1
1 17 69 1
1 17 71 1
1 17 73 1
1 17 75 1
1 17 77 1
1 17 79 1
1 17 81 1
1 17 83 2
1 17 85 2
1 17 87 2
1 17 89 2
1 17 91 2
1 17 93 2
1 17 95 2
1 17 97 1
1 17 99 1
1 19 1 2
1 19 3 2
1 19 5 2
1 19 7 2
1 19 9 2
1 19 11 1
1 19 13 1
1 19 15 2
1 19 17 2
1 19 19 3
1 19 21 2
1 19 23 2
1 19 25 2
1 19 27 1
1 19 29 1
1 19 31 1
1 19 33 1
1 19 35 1
1 19 37 1
1 19 39 0
1 19 41 0
1 19 43 0
1 19 45 1
1 19 47 2
1 19 49 2
1 19 51 2
1 19 53 2
1 19 55 2
1 19 57 2
1 19 59 2
1 19 61 1
1 19 63 1
1 19 65 1
1 19 67 1
1 19 69 1
1 19 71 1
1 19 73 1
1 19 75 1
1 19 77 1
1 19 79 1
1 19 81 1
1 19 83 1
1 19 85 1
1 19 87 2
1 19 89 1
1 19 91 1
1 19 93 1
1 19 95 1
1 19 97 1
1 19 99 1
1 21 1 1
1 21 3 2
1 21 5 2
1 21 7 2
1 21 9 2
1 21 11 2
1 21 13 1
1 21 15 2
1 21 17 2
1 21 19 2
1 21 21 2
1 21 23 2
1 21 25 2
1 21 27 2
1 21 29 2
1 21 31 1
1 21 33 1
1 21 35 1
1 21 37 1
1 21 39 0
1 21 41 0
1 21 43 0
1 21 45 1
1 21 47 1
1 21 49 1
1 21 51 1
1 21 53 2
1 21 55 2
1 21 57 2
1 21 59 1
1 21 61 1
1 21 63 1
1 21 65 1
1 21 67 1
1 21 69 1
1 21 71 1
1 21 73 1
1 21 75 0
1 21 77 1
1 21 79 1
1 21 81 1
1 21 83 1
1 21 85 1
1 21 87 1
1 21 89 1
1 21 91 1
1 21 93 1
1 21 95 0
1 21 97 0
1 21 99 1
1 23 1 1
1 23 3 1
1 23 5 1
1 23 7 2
1 23 9 2
1 23 11 2
1 23 13 2
1 23 15 1
1 23 17 1
1 23 19 2
1 23 21 2
1 23 23 2
1 23 25 2
1 23 27 2
1 23 29 2
1 23 31 2
1 23 33 2
1 23 35 1
1 23 37 1
1 23 39 1
1 23 41 1
1 23 43 1
1 23 45 2
1 23 47 1
1 23 49 1
1 23 51 1
1 23 53 1
1 23 55 1
1 23 57 2
1 23 59 1
1 23 61 1
1 23 63 1
1 23 65 1
1 23 67 1
1 23 69 1
1 23 71 0
1 23 73 0
1 23 75 0
1 23 77 0
1 23 79 1
1 23 81 1
1 23 83 1
1 23 85 1
1 23 87 1
1 23 89 1
1 23 91 1
1 23 93 0
1 23 95 0
1 23 97 0
1 23 99 0
1 25 1 0
1 25 3 1
1 25 5 1
1 25 7 1
1 25 9 1
1 25 11 1
1 25 13 1
1 25 15 1
1 25 17 1
1 25 19 1
1 25 21 2
1 25 23 2
1 25 25 2
1 25 27 2
1 25 29 2
1 25 31 2
1 25 33 2
1 25 35 1
1 25 37 1
1 25 39 1
1 25 41 1
1 25 43 1
1 25 45 2
1 25 47 2
1 25 49 2
1 25 51 1
1 25 53 1
1 25 55 1
1 25 57 2
1 25 59 1
1 25 61 1
1 25 63 1
1 25 65 1
1 25 67 1
1 25 69 1
1 25 71 0
1 25 73 0
1 25 75 0
1 25 77 0
1 25 79 1
1 25 81 1
1 25 83 1
1 25 85 1
1 25 87 1
1 25 89 1
1 25 91 0
1 25 93 0
1 25 95 0
1 25 97 0
1 25 99 0
1 27 1 0
1 27 3 0
1 27 5 1
1 27 7 1
1 27 9 1
1 27 11 1
1 27 13 1
1 27 15 1
1 27 17 1
1 27 19 1
1 27 21 1
1 27 23 2
1 27 25 2
1 27 27 1
1 27 29 1
1 27 31 1
1 27 33 1
1 27 35 0
1 27 37 0
1 27 39 1
1 27 41 1
1 27 43 1
1 27 45 2
