 100.0     0.00    0.4065E+11    1     128^3 :  box [h^-1 Mpc], redshift, part. mass [h^-1 M_s], nspecies, n	#
objects with more than   20 particles found at linking lenght 0.20000	#
      #      x     y    z h^-1 Mpc         velocity[km/s]      lkl   mass h^-1 M_s  sigma  sigma_v  r_sph  delta  spin p.	WebID
       1   36.9007  19.0984  88.0105     4.1    10.8    13.8    15371  0.6248E+15  1.2762  1275.3  1.6209   407.7      0.1200    	3
       2   36.8930  42.3628  28.3231   -95.3  -130.3  -124.4    10179  0.4137E+15  0.9713  1215.8  1.4292   393.9      0.1050E-01	3
       3   31.9282  22.5853   9.8699    20.5   106.1   -77.8     9692  0.3939E+15  0.9986  1189.9  1.3979   400.8      0.1074    	3
       4   56.0149   9.2088  62.7782   136.3   -57.0  -213.8     9143  0.3716E+15  0.6931  1306.5  1.2150   576.3      0.1897E-01	3
       5   92.1557   1.2348   4.0249   188.5   204.0   145.7     8640  0.3512E+15  1.0201  1044.1  1.3853   367.0      0.8291E-01	3
       6   25.7303  81.0535  98.3392   -85.1    51.3   -77.4     8332  0.3387E+15  0.8148  1231.1  1.2868   441.8      0.1703E-01	3
       7   13.1992  88.1733  63.1194   226.1   343.9    13.5     7802  0.3171E+15  1.2385   995.2  1.3493   358.7      0.1839E-01	3
       8   59.9712  19.3407  88.5223   -90.6    21.7  -149.8     7528  0.3060E+15  0.7896  1172.3  1.2729   412.4      0.5247E-01	2
       9   57.4178  86.2143  59.0167   -42.1   421.6   115.6     6225  0.2530E+15  0.7995  1051.7  1.1815   426.5      0.2481E-01	3
      10    1.9059   3.6378   9.6803   -64.6   -11.0   -91.5     5196  0.2112E+15  0.6634  1072.0  1.0600   493.1      0.3570E-01	2
      11   57.3545   8.7319  58.8948  -323.5   105.2   307.5     5109  0.2077E+15  0.6747  1048.8  1.0939   441.0      0.3551E-01	3
      12   94.1977   3.4735  35.7574   -66.7  -151.1   -99.9     5064  0.2058E+15  0.7134   963.8  1.1294   397.1      0.1867E-01	3
      13   27.5217  12.1087  83.0583   338.5   432.4   159.4     4898  0.1991E+15  0.7912   919.0  1.0824   436.4      0.6727E-01	3
      14   88.4091  60.7474   7.9235   114.3   -21.4   115.0     4510  0.1833E+15  0.9982   788.0  1.1999   294.6      0.3115E-01	3
      15   33.2679  29.0391  21.0275    92.4  -214.3  -254.6     4479  0.1821E+15  0.7801   887.1  1.0921   388.4      0.2377E-01	3
      16    1.5289  13.1629  50.7638   141.1   -79.1  -180.5     4264  0.1733E+15  0.6535   929.0  1.0029   477.7      0.4690E-01	2
      17   88.9437  36.6975   9.8963   -26.1  -187.5    13.4     4225  0.1717E+15  1.0497   751.2  1.1117   347.2      0.5542E-01	3
      18   19.7884   0.1029  50.8172    65.6    56.6   109.7     4208  0.1710E+15  0.6910   903.2  1.0781   379.3      0.3439E-01	3
      19   18.9552  28.8564  26.6665   312.0  -161.8   -93.2     4173  0.1696E+15  0.7448   859.4  1.1365   320.9      0.3096E-01	3
      20   96.9925  11.6325  88.3704   -16.3  -133.5   354.3     4067  0.1653E+15  1.0079   771.9  1.0940   350.7      0.9398E-01	3
      21   52.8674  13.0410  29.2215  -154.4   111.8   150.4     3976  0.1616E+15  0.9581   828.4  1.1215   318.2      0.3490E-01	3
      22   72.2229   8.2961  96.8142   -16.0   -10.4   -81.1     3970  0.1614E+15  0.8183   778.5  1.0750   360.9      0.6705E-01	3
      23   76.0051  35.1451  68.3772   -91.7  -409.9   125.4     3782  0.1537E+15  1.0029   745.8  1.0506   368.4      0.2785E-01	3
      24   45.1145  18.3388  85.0910  -167.3  -189.2   344.3     3688  0.1499E+15  0.5858   867.4  1.0020   414.2      0.3479E-01	2
      25   21.0855  62.1405  93.0779   157.3    37.6    34.4     3649  0.1483E+15  0.5124   960.7  0.8770   611.7      0.3735E-01	3
      26   24.6532  11.6601  62.2453   147.0   -65.0     3.8     3416  0.1388E+15  0.5937   870.2  0.9779   412.7      0.1861E-01	3
      27   60.5605   7.9364  50.3780  -256.5    32.4   192.9     3323  0.1351E+15  0.6140   802.6  0.9705   410.7      0.6340E-01	3
      28   61.8932  24.2829  56.1836   -68.9  -395.0    86.6     3127  0.1271E+15  0.6237   798.6  0.9071   473.4      0.7288E-01	3
      29   80.2833   3.8189  97.6225    17.9   574.0   183.9     3013  0.1225E+15  0.6418   744.4  0.9503   396.6      0.4880E-01	3
      30   32.2720  25.9343  16.5449   168.4    76.8  -214.2     2954  0.1201E+15  0.5989   784.4  0.9426   398.5      0.8092E-01	2
      31   32.4306  49.0590   3.5929  -146.7  -249.4    73.7     2858  0.1162E+15  0.5974   807.0  0.9079   431.4      0.7455E-01	3
      32   99.2261  45.3372  15.5813     8.2  -142.0  -201.4     2855  0.1160E+15  0.5430   835.4  0.9294   401.8      0.4173E-01	3
      33   96.4333  15.3955  19.4257    17.9  -267.1  -182.6     2778  0.1129E+15  0.5951   778.6  0.9495   366.5      0.3272E-01	3
      34   55.5995  53.7866  46.7066   -95.8  -164.3  -121.9     2752  0.1119E+15  0.6011   755.3  0.9306   385.8      0.5188E-01	3
      35   53.2645   9.1401  44.6366   -81.7   -53.9   145.1     2713  0.1103E+15  0.5003   863.9  0.8174   561.7      0.4734E-01	3
      36   88.5814  71.3648  11.0509    50.4    96.6   -12.7     2582  0.1049E+15  0.5595   812.7  0.8883   416.2      0.1517    	3
      37   41.2759   3.6878  15.2992  -153.9   263.1    58.3     2557  0.1039E+15  0.6583   749.9  0.9068   387.3      0.2101E-01	3
      38   99.8113  97.6141  33.4802  -318.4   333.1  -282.8     2515  0.1022E+15  0.4789   801.8  0.8538   456.7      0.3756E-01	3
      39   12.5351  23.5926  43.5813   -85.0  -282.0   -56.0     2501  0.1017E+15  0.5459   757.4  0.8604   443.6      0.5672E-01	3
      40   55.6174  46.6879  45.7313  -177.1  -112.2  -139.6     2438  0.9910E+14  0.9565   672.0  0.9245   348.5      0.1781    	3
      41   39.7812  67.7573  31.3045   -38.2  -207.5   -86.8     2406  0.9779E+14  0.5808   699.0  0.8753   405.3      0.1770E-01	3
      42    4.4093  49.3833  85.4903   118.1   -80.7   218.6     2244  0.9121E+14  1.1192   619.6  0.9034   343.7      0.1067    	3
      43   80.1656   1.9213  37.3674   248.4    79.4    89.9     2176  0.8845E+14  0.6028   662.8  0.9108   325.1      0.2415E-01	3
      44   69.0460   8.3644  87.8885    46.8   333.5   143.6     2104  0.8552E+14  0.5704   687.4  0.8436   395.9      0.5035E-01	3
      45   51.6733  20.2577  89.3735    10.6  -291.4  -204.9     2081  0.8458E+14  0.4925   705.6  0.8244   419.6      0.6288E-01	2
      46   26.1397  67.1469  89.4857   -10.6    13.1   264.7     2074  0.8430E+14  0.5877   757.6  0.8710   354.4      0.2778E-01	3
      47   51.5123   4.8493  46.0214    97.6   436.7    39.1     2024  0.8227E+14  0.6033   672.5  0.8402   385.4      0.2245E-01	3
      48   33.2575  44.9297  32.6980   358.0  -472.1  -369.8     1982  0.8056E+14  0.8450   624.8  0.8803   328.1      0.1287    	2
      49   33.5869  76.5751  78.3354   -29.2   257.1    88.2     1980  0.8048E+14  0.5910   693.5  0.8388   378.9      0.4408E-01	3
      50   19.2290  48.4342  77.5268   162.9  -144.8   329.3     1971  0.8011E+14  0.8181   580.4  0.8367   380.0      0.6106E-01	3
      51    4.2879  97.8706   5.4858  -373.9   450.0   153.0     1923  0.7816E+14  0.6136   667.0  0.8482   355.8      0.7304E-01	3
      52   61.0943  22.1100  89.4908  -369.1  -656.6  -255.6     1903  0.7735E+14  0.5936   633.2  0.8885   306.2      0.5096E-01	3
      53   32.0075  20.7758  81.0191   198.8  -521.0   507.7     1844  0.7495E+14  0.5732   652.3  0.8363   356.0      0.3399E-01	3
      54    8.4319  14.8347  98.2985   129.2  -438.4   247.0     1821  0.7402E+14  0.4932   664.5  0.8099   387.1      0.5296E-01	3
      55   58.3237  86.8087  61.9994  -248.6   299.8  -505.9     1809  0.7353E+14  0.5955   613.6  0.8264   362.0      0.5276E-01	3
      56   21.4350  96.8887  59.3352   -40.1   228.8   -32.1     1758  0.7146E+14  0.4637   702.9  0.7838   412.4      0.1541E-01	3
      57   61.5232  37.9389  85.0564    21.0  -413.5   167.7     1739  0.7068E+14  0.5500   618.3  0.7996   384.2      0.1086    	3
      58   98.2185  88.7482  13.4154  -119.3   546.7  -128.3     1724  0.7007E+14  0.4677   726.6  0.7428   475.4      0.1210    	3
      59   98.5689  97.0327  31.6394  -137.2   497.6   216.7     1718  0.6983E+14  0.5085   646.6  0.8163   356.7      0.2989E-01	3
      60   49.2443  10.4766  39.4705   186.8   137.8   303.4     1708  0.6942E+14  0.4982   618.6  0.7989   378.3      0.5631E-01	3
      61   86.5439   0.3740  27.9183   219.1   177.0   227.8     1702  0.6918E+14  0.4146   757.3  0.7251   504.5      0.6969E-01	2
